"","Scientific_Name","Also_known_as","Genus","Family","Life_cycle","Origin","Habitat","Bloom_season","Plant_height","Wetland_Indicator_Status","Flower_shape_1","Leaf_attachment_1","Leaf_type_1","Fruit_type_1","Status","Cluster_type_1","Flower_shape_2","Cluster_type_2","Leaf_type_2","Fruiting_season","Leaf_attachment_2","Flower_shape_3","Fruit_type_2","Leaf_type_3","Leaf_type_4","Cluster_type_3","Flower_shape_4","Leaf_attachment_3"
"1327","Ranunculus macounii","","Ranunculus","Ranunculaceae (Buttercup)","perennial","native","part shade, sun; open marshes,  shorelines,  wet meadows,  wet ditches,","June - August","1 to 2 feet","GP: OBL
MW: OBL
NCNE: OBL","5-petals","alternate","compound","seed without plume",NA,NA,NA,NA,"lobed",NA,"basal",NA,NA,NA,NA,NA,NA,NA
"1328","Ranunculus pensylvanicus","Bristly Buttercup, Bristly Crowfoot","Ranunculus","Ranunculaceae (Buttercup)","annual, short-lived perennial","native","part shade, sun; wet fields,  ditches,  marshes,  along shores","June - August","1 to 3 feet","GP: FACW
MW: OBL
NCNE: OBL","5-petals","alternate","compound","seed without plume",NA,NA,NA,NA,"lobed",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1329","Ranunculus recurvatus","Blisterwort, Hooked Crowfoot","Ranunculus","Ranunculaceae (Buttercup)","perennial","native","part shade; average to moist woods,  along streams,  edges of swamps,  floodplains","May - June","1 to 2 feet","GP: FACW
MW: FACW
NCNE: FACW","5-petals","alternate","lobed","seed without plume",NA,NA,NA,NA,NA,NA,"basal",NA,NA,NA,NA,NA,NA,NA
"1330","Ranunculus rhomboideus","Labrador Buttercup","Ranunculus","Ranunculaceae (Buttercup)","perennial","native","part shade, sun; dry sandy prairies,  open woods","April - May","2 to 10 inches","none","5-petals","alternate","lobed","seed without plume",NA,NA,"6-petals",NA,"simple",NA,"basal","7+petals",NA,NA,NA,NA,NA,NA
"1331","Ranunculus sceleratus","Celery-leaf Buttercup, Cursed Buttercup","Ranunculus","Ranunculaceae (Buttercup)","annual, short-lived perennial","native","part shade, sun; along shores,  wet meadows,  wet ditches,  shallow water","May - September","6 to 24 inches","GP: OBL
MW: OBL
NCNE: OBL","5-petals","alternate","lobed","seed without plume",NA,NA,NA,NA,"simple",NA,"basal",NA,NA,NA,NA,NA,NA,NA
"1332","Ranunculus testiculatus","Curveseed Butterwort, Hornseed Buttercup","Ranunculus","Ranunculaceae (Buttercup)","annual","Eurasia","part shade, sun; dry disturbed soils; roadsides,  fields,  waste areas","April - May","1 to 4 inches","none","3-petals","basal","lobed","seed without plume","Weedy","spike","4-petals",NA,"simple",NA,NA,"5-petals",NA,NA,NA,NA,NA,NA
"1333","Raphanus raphanistrum","Wild Radish","Raphanus","Brassicaceae (Mustard)","annual","Eurasia","sun; disturbed soil,  waste places,  cultivated fields,  gardens","June - August","12 to 30 inches","none","4-petals","alternate","compound","capsule/pod",NA,"raceme",NA,NA,"lobed",NA,"basal",NA,NA,NA,NA,NA,NA,NA
"1334","Ratibida columnifera","Upright Prairie Coneflower, Long-headed Coneflower, Mexican Hat","Ratibida","Asteraceae (Aster)","perennial","native","sun; dry fields,  prairies,  along roads,  railroads","June - August","1 to 3 feet","none","7+petals","alternate","lobed","seed without plume",NA,NA,NA,NA,"simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1335","Ratibida pinnata","Pinnate Prairie Coneflower, Yellow Coneflower","Ratibida","Asteraceae (Aster)","perennial","native","sun; fields,  prairies,  along roads","June - August","3 to 7 feet","none","7+petals","alternate","lobed","seed without plume",NA,NA,NA,NA,"simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1336","Rhamnus alnifolia","Dwarf Alder, American Alder Buckthorn","Rhamnus","Rhamnaceae (Buckthorn)","perennial woody","native","part shade; moist,  shady bogs,  fens,  lake edges","May - June","2 to 3 feet","GP: FACW
MW: OBL
NCNE: OBL","5-petals","alternate","simple","berry/drupe",NA,"raceme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1337","Rhamnus cathartica","","Rhamnus","Rhamnaceae (Buckthorn)","perennial woody","Europe","part shade, shade, sun; moist to dry; woods,  woodland edges,  fence rows,  waste areas,","June - July","to 20 feet","GP: FACU
MW: FAC
NCNE: FAC","4-petals","alternate","simple","berry/drupe","Invasive - ERADICATE!
Noxious Weed
Prohibited or Restricted species","whorled",NA,NA,NA,NA,"opposite",NA,NA,NA,NA,NA,NA,NA
"1338","Rhodiola integrifolia subsp. leedyi","","Rhodiola","Crassulaceae (Stonecrop)","perennial","native","part shade, shade, sun; north facing dolomite cliffs","June","6 to 18 inches","GP: FACU
MW: FACU
NCNE: UPL","4-petals","alternate","simple","capsule/pod","Federally Threatened
State Endangered","flat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1339","Rhododendron groenlandicum","","Rhododendron","Ericaceae (Heath)","perennial woody","native","part shade, sun; cedar/spruce bogs,  sphagnum wetlands,  lake and stream shores","May - June","1 to 3 feet","GP: FACW
MW: OBL
NCNE: OBL","5-petals","alternate","simple",NA,NA,"round",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1340","Rhus glabra","","Rhus","Anacardiaceae (Sumac)","perennial woody","native","part shade, sun; dry to average moisture; woodland edges,  savannas,  prairies,  outcrops,  along roadsides,  railroads,  shores","June - July","3 to 18 feet","none","5-petals","alternate","compound","berry/drupe",NA,"panicle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1341","Rhus typhina","","Rhus","Anacardiaceae (Sumac)","perennial woody","native","part shade, sun; dry to average moisture; forest edges,  clearings,  prairies,  old fields,  along roadsides,  railroads,  shores","June - July","up to 35 feet","none","5-petals","alternate","compound","berry/drupe",NA,"panicle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1342","Rhynchospora alba","White Beaksedge","Rhynchospora","Cyperaceae (Sedge)","perennial","native","sun; wet; fens,  bogs,  peatlands,  floating mats",NA,"6 to 20 inches","GP: OBL
MW: OBL
NCNE: OBL","indistinct","alternate","simple","seed without plume",NA,"round",NA,"spike",NA,"July - October",NA,NA,NA,NA,NA,NA,NA,NA
"1343","Rhynchospora capillacea","Hair-like Beakrush, Horned Beakrush","Rhynchospora","Cyperaceae (Sedge)","perennial","native","sun; wet sandy or peaty soil; calcareous fens,  spring fens,  marly pools",NA,"4 to 16 inches","GP: OBL
MW: OBL
NCNE: OBL","indistinct","alternate","simple","seed without plume","State Threatened","spike",NA,NA,NA,"July - September","basal",NA,NA,NA,NA,NA,NA,NA
"1344","Rhynchospora capitellata","Brownish Beakrush","Rhynchospora","Cyperaceae (Sedge)","perennial","native","sun; moist to wet  sandy or peaty soil; shores,  wet meadows,  marshes,  swales,  seeps,  fens,  bogs",NA,"8 to 40 inches","none","indistinct","alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"July - September","basal",NA,NA,NA,NA,NA,NA,NA
"1345","Rhynchospora fusca","Brown Beakrush, Sooty-colored Beakrush","Rhynchospora","Cyperaceae (Sedge)","perennial","native","sun; wet sandy or peaty soil; bogs,  floating mats,  marshy meadows,  shores,  swales,  marly pools",NA,"6 to 16 inches","GP: OBL
MW: OBL
NCNE: OBL","indistinct","alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"July - September","basal",NA,NA,NA,NA,NA,NA,NA
"1346","Ribes americanum","American Black Currant, Eastern Black Currant","Ribes","Grossulariaceae (Gooseberry)","perennial woody","native","part shade, sun; moist; open woods,  streambanks,  swamps,  wet meadows,  ravines","May - June","2 to 5 feet","GP: FACW
MW: FACW
NCNE: FACW","5-petals","alternate","lobed","berry/drupe",NA,"raceme","bell",NA,"simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1347","Ribes aureum","Buffalo Currant, Flowering Currant","Ribes","Grossulariaceae (Gooseberry)","perennial woody","native","part shade, sun; average to moist soil; fencerows,  roadsides,  open woods,  prairies,  rocky slopes,  bluffs,  thickets,  stream banks","April - May","3 to 7 feet","GP: FACU
MW: FAC
NCNE: FACU","5-petals","alternate","lobed","berry/drupe",NA,"raceme","tubular",NA,"simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1348","Ribes cynosbati","Dogberry","Ribes","Grossulariaceae (Gooseberry)","perennial woody","native","part shade, sun; average to moist rich or rocky soil; hardwood or mixed forest,  thickets,  outcrops,  floodplains,  swamps","April - June","2 to 4 feet","GP: FACU
MW: FAC
NCNE: FACU","5-petals","alternate","lobed","capsule/pod",NA,"raceme","bell",NA,"simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1349","Ribes glandulosum","","Ribes","Grossulariaceae (Gooseberry)","perennial woody","native","part shade, shade; moist to wet; swamps,  bogs,  conifer and mixed forests,  thickets,  ravines,  rocky shores","May - June","1 to 3 feet","GP: OBL
MW: FACW
NCNE: FACW","5-petals","alternate","lobed","berry/drupe",NA,"raceme","bell",NA,"simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1350","Ribes hirtellum","Hairy-stemmed Gooseberry","Ribes","Grossulariaceae (Gooseberry)","perennial woody","native","sun; moist to wet; sedge meadows,  fens,  swamps,  forest edges,  thickets along shores","May - June","20 to 40 inches","GP: FAC
MW: FACW
NCNE: FACW","5-petals","alternate","lobed","berry/drupe",NA,NA,"bell",NA,"simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1351","Ribes hudsonianum","Hudson Bay Currant, Western Black Currant, Stinking Currant","Ribes","Grossulariaceae (Gooseberry)","perennial woody","native","part shade, sun; moist to wet; swamps,  forests,  thickets,  streambanks","May - June","2 to 5 feet","GP: OBL
MW: OBL
NCNE: OBL","5-petals","alternate","lobed","berry/drupe",NA,"raceme","bell",NA,"simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1352","Ribes missouriense","","Ribes","Grossulariaceae (Gooseberry)","perennial woody","native","part shade, shade, sun; dry to average moisture; woods,  woodland edges,  thickets,  floodplains,  fields","April - June","3 to 6 feet","none","5-petals",NA,"lobed","berry/drupe",NA,NA,"tubular",NA,"simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1353","Ribes oxyacanthoides","Canada Gooseberry","Ribes","Grossulariaceae (Gooseberry)","perennial woody","native","part shade, sun; rocky shores,  outcrops,  bluffs,  rocky slopes,  forest clearings,  beach ridges,  dunes","May - June","1 to 4 feet","GP: FACU
MW: FACU
NCNE: FACU","5-petals","alternate","lobed","berry/drupe",NA,"raceme","bell",NA,"simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1354","Ribes rubrum","Red Currant, Cultivated Currant","Ribes","Grossulariaceae (Gooseberry)","perennial woody","Europe","part shade, sun; disturbed soil; gardens,  woods,  thickets,  old fields,  fencerows,  vacant lots","April - May","2 to 5 feet","none","5-petals","alternate","lobed","capsule/pod",NA,"raceme",NA,NA,"simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1355","Ribes triste","","Ribes","Grossulariaceae (Gooseberry)","perennial woody","native","part shade, shade, sun; moist to wet; bogs,  coniferous woods,  stream banks,  seeps","May - June","1 to 3 feet","GP: OBL
MW: OBL
NCNE: OBL","5-petals","alternate","lobed","berry/drupe",NA,"raceme",NA,NA,"simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1356","Robinia hispida","Prickly Locust, Rose Acacia","Robinia","Fabaceae (Pea)",NA,"southeast US","part shade, sun; disturbed soil; roadsides,  woodlands,  woodland edges,  fence rows,  waste areas","June - July","3 to 10 feet","none","irregular","alternate","compound","capsule/pod",NA,"raceme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1357","Robinia pseudoacacia","","Robinia","Fabaceae (Pea)","perennial woody","Ozarks and Appalachia","sun; upland forest edges and openings,  urban plantings","June","30 to 60 feet","GP: UPL
MW: FACU
NCNE: FACU","irregular","alternate","compound","capsule/pod","Invasive - ERADICATE!","raceme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1358","Rorippa palustris","Marsh Yellow Cress","Rorippa","Brassicaceae (Mustard)","annual, short-lived perennial","native","part shade, sun; wet ditches,  wet meadows,  along shores,  swamps,  mud flats","May - September","12 to 40 inches","GP: OBL
MW: OBL
NCNE: OBL","4-petals","alternate","lobed","capsule/pod",NA,"raceme",NA,NA,"simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1359","Rorippa sinuata","Creeping Yellow Cress, Western Yellowcress","Rorippa","Brassicaceae (Mustard)","perennial","native","sun; moist sandy soil,  fields,  along shores","April - July","4 to 16 inches","GP: FACW
MW: FACW
NCNE: FACW","4-petals","alternate","lobed","capsule/pod",NA,"raceme",NA,"round","simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1360","Rorippa sylvestris","","Rorippa","Brassicaceae (Mustard)","perennial","Europe, Asia","sun; wet ditches,  wet meadows,  along shores,  cultivated fields","June - September","1 to 2 feet","GP: FACW
MW: OBL
NCNE: OBL","4-petals","alternate","compound","capsule/pod","Weedy","raceme",NA,NA,"lobed",NA,"basal",NA,NA,NA,NA,NA,NA,NA
"1361","Rosa acicularis","Prickly Rose","Rosa","Rosaceae (Rose)","perennial woody","native","part shade, sun; dry to moist; boreal forest,  woodland edges,  rocky openings,  lakeshores,  thickets","June - July","4 to 8 feet","GP: FACU
MW: FACU
NCNE: FACU","5-petals","alternate","compound","berry/drupe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1362","Rosa arkansana","Wild Rose","Rosa","Rosaceae (Rose)","perennial woody","native","part shade, sun; fields,  prairies,  along roads,  edges of woods","June - July","6 to 40 inches","GP: FACU
MW: FACU
NCNE: FACU","5-petals","alternate","compound","berry/drupe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1363","Rosa blanda","Smooth Rose, Meadow Rose","Rosa","Rosaceae (Rose)","perennial woody","native","part shade, sun; dry to moist; open prairie,  woodland edges,  fence rows,  lakeshores,  thickets","June - July","4 to 7 feet","GP: FACU
MW: FACU
NCNE: FACU","5-petals","alternate","compound","berry/drupe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1364","Rosa multiflora","","Rosa","Rosaceae (Rose)","perennial woody","Asia","part shade, shade; open woods,  woodland edges,  thickets,  roadsides,  fencerows,  abandoned fields and pastures","June","6 to 12 feet","GP: UPL
MW: FACU
NCNE: FACU","5-petals","alternate","compound","berry/drupe","Invasive - ERADICATE!","panicle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1365","Rosa woodsii","Wood's Rose","Rosa","Rosaceae (Rose)","perennial woody","native","part shade, sun; moist to dry; woodland edges and clearings,  meadows,  prairies,  riverbanks","June - July","3 to 6 feet","GP: FACU
MW: FACU
NCNE: FACU","5-petals","alternate","compound","berry/drupe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1366","Rotala ramosior","Lowland Rotala","Rotala","Lythraceae (Loosestrife)","annual","native","sun; peaty or sandy meadows and pond edges","July - September","4 to 16 inches","GP: OBL
MW: OBL
NCNE: OBL","4-petals","opposite","simple","capsule/pod","State Threatened",NA,"indistinct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1367","Rubus arcticus","Arctic Bramble, Nagoonbery, Northern Blackberry","Rubus","Rosaceae (Rose)","perennial woody","native","part shade, shade; wet; bogs,  swamps,  fens,  tickets,  wet forests","June - July","4 to 6 inches","GP: FACW
MW: FACW
NCNE: FACW","5-petals","alternate","compound","berry/drupe",NA,NA,"6-petals",NA,"palmate",NA,NA,"7+petals",NA,NA,NA,NA,NA,NA
"1368","Rubus chamaemorus","Baked-apple Berry","Rubus","Rosaceae (Rose)","perennial woody","native","part shade, sun; boreal forest openings,  bogs,  rock outcrops,  mossy woods,  peaty tundra","June - July","8 to 12 inches","GP: none
MW: none
NCNE: FACW","4-petals","alternate","lobed","berry/drupe","State Threatened",NA,"5-petals",NA,"simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1369","Rubus idaeus","American Red Raspberry, Common Red Raspberry","Rubus","Rosaceae (Rose)","perennial woody","native","part shade, sun; moist to dry soil; open woods,  woodland edges,  meadows,  lakeshores,  roadsides,  railroads","May - July","3 to 4 feet","GP: FACU
MW: FACU
NCNE: FAC","5-petals","alternate","compound","berry/drupe",NA,"raceme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1370","Rubus occidentalis","","Rubus","Rosaceae (Rose)","perennial woody","native","part shade, sun; moist to dry soil; open woods,  woodland edges,  railroads,  roadsides,  fencerows,  meadows,  prairies","May - June","3 to 5 feet","none","5-petals","alternate","compound","berry/drupe",NA,"raceme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1371","Rubus parviflorus","","Rubus","Rosaceae (Rose)","perennial woody","native","part shade, sun; open woods,  woodland edges,  forest clearings,  thickets,  stream banks","June - July","3 to 6 feet","GP: FACU
MW: FACU
NCNE: FACU","5-petals","alternate","lobed","berry/drupe",NA,"panicle",NA,NA,"simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1372","Rubus parvifolius","Japanese Bramble, Australian Raspberry, Australian Bramble, Small-leaf Bramble","Rubus","Rosaceae (Rose)","perennial woody","Asia, Australia","part shade, sun; disturbed soils; open woods,  woodland edges,  roadsides","June - July","4 to 24 inches","none","5-petals","alternate","compound","berry/drupe","Invasive - ERADICATE!
Weedy","raceme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1373","Rubus pubescens","Dwarf Red Blackberry","Rubus","Rosaceae (Rose)","perennial woody","native","part shade, shade, sun; stream banks,  forest or shrub swamps,  upland forest,  open moist meadows","May - June","4 to 6 inches","GP: FACW
MW: FACW
NCNE: FACW","5-petals","alternate","compound","berry/drupe",NA,NA,"6-petals",NA,"palmate",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1374","Rudbeckia hirta","","Rudbeckia","Asteraceae (Aster)","annual, biennial, short-lived perennial","native","sun; fields,  prairies,  open woods,  roadsides,  disturbed soil","June - October","1 to 3 feet","GP: FACU
MW: FACU
NCNE: FACU","7+petals","alternate","simple","seed without plume",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1375","Rudbeckia laciniata","Green-headed Coneflower, Tall Coneflower, Golden Glow","Rudbeckia","Asteraceae (Aster)","perennial","native","part shade, sun; moist fields,  woodland edges,  along shores,  floodplains,  swamps,  wet ditches","July - September","2 to 10 feet","GP: FAC
MW: FACW
NCNE: FACW","7+petals","alternate","compound","seed without plume",NA,"flat",NA,"panicle","lobed",NA,"basal",NA,NA,"simple",NA,NA,NA,NA
"1376","Rudbeckia subtomentosa","Sweet Black-eyed Susan","Rudbeckia","Asteraceae (Aster)","perennial","native","part shade, sun; sandy,  loamy,  moist soil; wet to mesic prairie,  steam banks,  woodland openings and edges","July - October","2 to 6 feet","GP: FAC
MW: FACU
NCNE: FACU","7+petals","alternate","lobed","seed without plume",NA,"panicle",NA,NA,"simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1377","Rudbeckia triloba","Three-lobed Coneflower","Rudbeckia","Asteraceae (Aster)","annual, short-lived perennial","native","part shade, sun; moist soil; low woods,  thickets,  disturbed soil","July - October","1 to 5 feet","GP: FACU
MW: FACU
NCNE: FACU","7+petals","alternate","lobed",NA,"State Threatened","panicle",NA,NA,"simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1378","Ruellia humulis","Fringe-leaf Ruellia, Prairie Petunia, Hairy Wild Petunia","Ruellia","Acanthaceae (Acanthus)","perennial","native","sun; dry sandy or rocky soil; prairie,  open woods,  rocky slopes,  bluffs","June - August","8 to 24 inches","GP: FAC
MW: FACU
NCNE: FACU","5-petals","opposite","simple","capsule/pod","State Special Concern","whorled","tubular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1379","Rumex acetosa","Common Sorrel, Garden Sorrel, Common Sheep Dock","Rumex","Polygonaceae (Buckwheat)","perennial","Eurasia","sun; disturbed soils; fields,  along shores,  waste areas","June - July","1 to 3 feet","GP: none
MW: UPL
NCNE: UPL","3-petals","alternate","simple","capsule/pod","Weedy","panicle","indistinct","whorled",NA,NA,"basal",NA,"seed without plume",NA,NA,NA,NA,NA
"1380","Rumex acetosella","Red Sorrel","Rumex","Polygonaceae (Buckwheat)","perennial","Eurasia","sun; dry disturbed soils; fields,  roadsides,  waste areas,  railroads","June - August","4 to 16 inches","GP: FAC
MW: FACU
NCNE: FACU","3-petals","alternate","lobed","capsule/pod","Weedy","panicle","6-petals","whorled","simple",NA,"basal","indistinct","seed without plume",NA,NA,NA,NA,NA
"1381","Rumex altissimus","Tall Dock","Rumex","Polygonaceae (Buckwheat)","perennial","native","sun; moist,  disturbed soils; ditches,  roadsides,  swales,  wet fields,  marshes,  shores,  riverbanks","May - June","2 to 4 feet","GP: FAC
MW: FACW
NCNE: FACW","3-petals","alternate","simple","capsule/pod",NA,"panicle","indistinct","whorled",NA,NA,NA,NA,"seed without plume",NA,NA,NA,NA,NA
"1382","Rumex britannica","","Rumex","Polygonaceae (Buckwheat)","perennial","native","part shade, sun; moist to wet; fens,  seeps,  shores,  stream banks,  marshes,  wet ditches,  swales","June - July","3 to 6 feet","GP: OBL
MW: OBL
NCNE: OBL","3-petals","alternate","simple","capsule/pod",NA,"panicle","indistinct","whorled",NA,NA,"basal",NA,"seed without plume",NA,NA,NA,NA,NA
"1383","Rumex crispus","Curled Dock, Yellow Dock","Rumex","Polygonaceae (Buckwheat)","perennial","Europe","part shade, sun; fields,  along roads,  waste areas","June - July","1 to 5 feet","GP: FAC
MW: FAC
NCNE: FAC","3-petals","alternate","simple","capsule/pod","Weedy","panicle","indistinct","whorled",NA,NA,NA,NA,"seed without plume",NA,NA,NA,NA,NA
"1384","Rumex fueginus","Seaside Dock, Tierra del Fuego Dock","Rumex","Polygonaceae (Buckwheat)","annual, biennial","native","sun; moist to wet; shores,  floodplains,  wet meadows,  marshes,  ditches,  disturbed soil","June - August","6 to 24 inches","GP: FACW
MW: FACW
NCNE: FACW","3-petals","alternate","simple","capsule/pod",NA,"spike","indistinct","whorled",NA,NA,NA,NA,"seed without plume",NA,NA,NA,NA,NA
"1385","Rumex longifolius","Northern Dock, Domestic Dock","Rumex","Polygonaceae (Buckwheat)","perennial","Europe, Asia","part shade, sun; disturbed soils; waste areas,  roadsides,  fields,  railroads,  along shores","July - August","2 to 4 feet","GP: FAC
MW: FAC
NCNE: FAC","3-petals","alternate","simple","capsule/pod","Weedy","panicle","indistinct","whorled",NA,NA,"basal",NA,"seed without plume",NA,NA,NA,NA,NA
"1386","Rumex obtusifolius","Broad-leaved Dock","Rumex","Polygonaceae (Buckwheat)","perennial","Europe","part shade, sun; moist,  disturbed soils; shores,  floodplains,  woodland edges,  roadsides,  fields","June - July","2 to 4 feet","GP: FACW
MW: FACW
NCNE: FAC","3-petals","alternate","simple","capsule/pod","Weedy","panicle","indistinct","whorled",NA,NA,"basal",NA,"seed without plume",NA,NA,NA,NA,NA
"1387","Rumex patientia","","Rumex","Polygonaceae (Buckwheat)","perennial","Eurasia","part shade, sun; disturbed soils; waste areas,  roadsides,  fields,  railroads,  along shores","June - July","2 to 5 feet","none","3-petals","alternate","simple","capsule/pod","Weedy","panicle","indistinct","whorled",NA,NA,"basal",NA,"seed without plume",NA,NA,NA,NA,NA
"1388","Rumex pseudonatronatus","","Rumex","Polygonaceae (Buckwheat)","perennial","Europe, Asia","part shade, sun; disturbed soils; waste areas,  roadsides,  fields,  railroads,  along shores","June - July","2 to 4 feet","none","3-petals","alternate","simple","capsule/pod","Weedy","panicle","indistinct","whorled",NA,NA,"basal",NA,"seed without plume",NA,NA,NA,NA,NA
"1389","Rumex stenophyllus","","Rumex","Polygonaceae (Buckwheat)","perennial","Europe, Asia","part shade, sun; moist to wet; shores,  stream banks,  wet ditches,  swamps","June - July","16 to 32 inches","GP: FACW
MW: FACW
NCNE: FACW","3-petals","alternate","simple","seed without plume","Weedy","panicle","indistinct","whorled",NA,NA,"basal",NA,NA,NA,NA,NA,NA,NA
"1390","Rumex triangulivalvis","White Dock, White Willow Dock, Triangular-valved Dock","Rumex","Polygonaceae (Buckwheat)","perennial","native","part shade, sun; moist sandy or gravelly soil; wet ditches,  fields,  roadsides,  waste areas,  brackish or saline shores","June - July","12 to 40 inches","GP: FACW
MW: FACW
NCNE: FAC","3-petals","alternate","simple","capsule/pod",NA,"panicle","indistinct","whorled",NA,NA,NA,NA,"seed without plume",NA,NA,NA,NA,NA
"1391","Rumex verticillatus","Whorled Water Dock","Rumex","Polygonaceae (Buckwheat)","perennial","native","part shade, sun; moist to wet; marshes,  swamps,  wet ditches,  fields,  wet woods","May - July","16 to 40 inches","GP: FACW
MW: OBL
NCNE: OBL","3-petals","alternate","simple","capsule/pod",NA,"panicle","indistinct","whorled",NA,NA,NA,NA,"seed without plume",NA,NA,NA,NA,NA
"1392","Sagina nodosa","Knotted Pearlwort","Sagina","Caryophyllaceae (Pink)","perennial","native","part shade, sun; bedrock shore of Lake Superior","June - August","3 to 8 inches","GP: none
MW: none
NCNE: FACU","5-petals","basal","simple","capsule/pod","State Endangered","panicle",NA,NA,NA,NA,"opposite",NA,NA,NA,NA,NA,NA,NA
"1393","Sagina procumbens","Procumbent Pearlwort","Sagina","Caryophyllaceae (Pink)","perennial","Europe, Asia","part shade, sun; average to moist disturbed soil; waste places,  roadsides,  shores,  rocks,  trail edges,  lawns","May - July","2 to 4 inches","GP: FACW
MW: FACW
NCNE: FAC","4-petals","basal","simple","capsule/pod","Weedy",NA,NA,NA,NA,NA,"opposite",NA,NA,NA,NA,NA,NA,NA
"1394","Sagittaria cristata","","Sagittaria","Alismataceae (Water Plantain)","perennial","native","part shade, sun; sandy or muddy soil; lake and pond edges,  swamps,  swales","July - September","12 to 30 inches","GP: OBL
MW: OBL
NCNE: OBL","3-petals","basal","simple","seed without plume",NA,"raceme",NA,"whorled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1395","Sagittaria cuneata","Northern Arrowhead","Sagittaria","Alismataceae (Water Plantain)","perennial","native","part shade, sun; ponds,  marshes,  lake shores","July - September","4 to 24 inches","GP: OBL
MW: OBL
NCNE: OBL","3-petals","basal","lobed","seed without plume",NA,"raceme",NA,"whorled","simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1396","Sagittaria latifolia","Common Arrowhead, Duck Potato","Sagittaria","Alismataceae (Water Plantain)","perennial","native","part shade, sun; swamps,  streams,  wet ditches,  shallow water","July - September","1 to 4 feet","GP: OBL
MW: OBL
NCNE: OBL","3-petals","basal","lobed","seed without plume",NA,"raceme",NA,"whorled","simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1397","Sagittaria montevidensis subsp. calycina","Long-lobe Arrowhead, Mississippi Arrowhead","Sagittaria","Alismataceae (Water Plantain)","annual","native","part shade, sun; mud flats and mucky backwaters of lakes and rivers","August - September","4 to 40 inches","GP: OBL
MW: OBL
NCNE: OBL","3-petals","basal","lobed","seed without plume","State Threatened","raceme",NA,"whorled","simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1398","Sagittaria rigida","","Sagittaria","Alismataceae (Water Plantain)","perennial","native","part shade, sun; sandy or muddy soil; lake and pond edges,  swamps,  swales","July - September","6 to 30 inches","GP: OBL
MW: OBL
NCNE: OBL","3-petals","basal","simple","seed without plume",NA,"raceme",NA,"whorled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
